emp_name,hours_worked,hourly_rate_emp,total_wage,total_tips,hourly_rate_avg,tips_avg,source,quarterly_salary,hours_per_week,calculated_salary,delta,wages_outlier_flag1,wages_outlier_flag2,wages_outlier_flag3,wages_outlier_flag4,wages_outlier_flag5,wages_outlier_flag6,wages_outlier_flag7,hours_outlier_flag1,hours_outlier_flag2,total_wages_outlier_flag1,total_tips_outlier_flag1,hourly_rate_avg_outlier_flag1,tips_avg_outlier_flag1,missing_flag1_total_wages,missing_flag2_wage_rate,missing_flag3_hours_worked
CHARLIE CHIANG'S REST,350.0,13.21,4625.0,1500.0,17.5,4.29,ESSP,6125.0,29.166666666666668,4623.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAFE MOZART INC,120.0,10.0,1200.0,1600.0,23.33,13.33,ESSP,2800.0,10.0,1200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,197.0,16.61,3272.0,2282.0,28.19,11.58,ESSP,5554.0,16.416666666666668,3272.17,0.17000000000007276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,126.0,15.0,1890.0,2534.0,35.11,20.11,ESSP,4424.0,10.5,1890.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,560.0,14.73,8250.0,11025.0,34.42,19.69,ESSP,19275.0,46.666666666666664,8248.800000000001,1.1999999999989086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,349.0,15.0,5235.0,4512.0,27.93,12.93,ESSP,9747.0,29.083333333333332,5235.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,183.0,12.0,2196.0,6222.0,46.0,34.0,ESSP,8418.0,15.25,2196.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,560.0,16.25,9100.0,2261.0,20.29,4.04,ESSP,11361.0,46.666666666666664,9100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,560.0,16.0,8960.0,2380.0,20.25,4.25,ESSP,11340.0,46.666666666666664,8960.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,349.0,18.0,6282.0,2682.0,25.68,7.68,ESSP,8964.0,29.083333333333332,6282.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
