emp_name,hours_worked,hourly_rate_emp,total_wage,total_tips,hourly_rate_avg,tips_avg,source
SPRING VALLEY ENTERPRISES,436.0,500.0,2179.0,9650.0,27.13,22.13,ESSP
SPRING VALLEY ENTERPRISES,309.0,500.0,1543.0,8894.0,33.78,28.78,ESSP
ITALIAN KITCHEN,705.0,6.0,5501.0,17044.0,31.98,24.18,ESSP
ITALIAN KITCHEN,573.0,5.0,3006.0,15128.0,31.65,26.4,ESSP
ITALIAN KITCHEN,70.0,5.0,349.0,1032.0,19.73,14.74,ESSP
ITALIAN KITCHEN,17.0,5.0,87.0,226.0,18.41,13.29,ESSP
ITALIAN KITCHEN,430.0,5.0,2151.0,11976.0,32.85,27.85,ESSP
ITALIAN KITCHEN,238.0,5.0,1190.0,4799.0,25.16,20.16,ESSP
ITALIAN KITCHEN,5.0,9.0,42.0,137.0,35.8,27.4,ESSP
ITALIAN KITCHEN,552.0,5.0,2875.0,11361.0,25.79,20.58,ESSP
ITALIAN KITCHEN,298.0,5.0,1488.0,7708.0,30.86,25.87,ESSP
ITALIAN KITCHEN,556.0,5.0,3039.0,14017.0,30.68,25.21,ESSP
ITALIAN KITCHEN,57.0,5.0,284.0,672.0,16.77,11.79,ESSP
ITALIAN KITCHEN,78.0,5.0,1836.0,1051.0,37.01,13.47,ESSP
ITALIAN KITCHEN,70.0,5.0,441.0,1472.0,27.33,21.03,ESSP
ITALIAN KITCHEN,505.0,5.0,2582.0,14635.0,34.09,28.98,ESSP
ITALIAN KITCHEN,69.0,5.0,344.0,1182.0,22.12,17.13,ESSP
ITALIAN KITCHEN,165.0,5.0,825.0,4249.0,30.75,25.75,ESSP
ITALIAN KITCHEN,357.0,5.0,1787.0,10228.0,33.66,28.65,ESSP
NEW JAPAN INCORPORATED,28.0,22.5,907.25,167.21,38.37,5.97,ESSP
NEW JAPAN INCORPORATED,544.0,15.0,15503.18,3155.93,34.3,5.8,ESSP
NEW JAPAN INCORPORATED,67.0,15.0,1433.76,418.41,27.64,6.24,ESSP
NEW JAPAN INCORPORATED,50.0,22.5,1446.11,319.54,35.31,6.39,ESSP
NEW JAPAN INCORPORATED,546.0,15.0,11679.41,3485.96,27.78,6.38,ESSP
NEW JAPAN INCORPORATED,92.0,15.0,1895.4,514.65,26.2,5.59,ESSP
NEW JAPAN INCORPORATED,162.0,15.0,3454.42,1016.02,27.6,6.27,ESSP
NEW JAPAN INCORPORATED,67.0,30.0,2380.17,355.77,40.83,5.31,ESSP
NEW JAPAN INCORPORATED,550.0,20.0,13920.74,2904.14,30.59,5.28,ESSP
NEW JAPAN INCORPORATED,79.0,15.0,3715.84,2530.54,79.07,32.03,ESSP
NEW JAPAN INCORPORATED,281.0,5.0,13160.5,11755.25,88.67,41.83,ESSP
NEW JAPAN INCORPORATED,77.0,15.0,3422.14,2255.76,73.74,29.3,ESSP
NEW JAPAN INCORPORATED,414.0,5.0,20146.98,18074.63,92.32,43.66,ESSP
NEW JAPAN INCORPORATED,355.0,15.0,7300.78,1966.33,26.1,5.54,ESSP
