emp_name,hours_worked,hourly_rate_emp,total_wage,total_tips,hourly_rate_avg,tips_avg,source
FIVE GUYS OPERATIONS LLC,1.0,9.71,9.0,74.0,83.0,74.0,ESSP
FIVE GUYS OPERATIONS LLC,2.0,9.6,14.0,74.0,44.0,37.0,ESSP
FIVE GUYS OPERATIONS LLC,2.0,9.65,18.0,74.0,46.0,37.0,ESSP
FIVE GUYS OPERATIONS LLC,3.0,9.45,28.0,74.0,34.0,24.67,ESSP
FIVE GUYS OPERATIONS LLC,3.0,9.82,27.0,74.0,33.67,24.67,ESSP
FIVE GUYS OPERATIONS LLC,5.0,9.5,48.0,74.0,24.4,14.8,ESSP
FIVE GUYS OPERATIONS LLC,8.0,9.4,76.0,74.0,18.75,9.25,ESSP
FIVE GUYS OPERATIONS LLC,22.0,9.0,194.0,74.0,12.18,3.36,ESSP
FIVE GUYS OPERATIONS LLC,1.0,10.0,8.0,229.0,237.0,229.0,ESSP
FIVE GUYS OPERATIONS LLC,3.0,10.63,27.0,229.0,85.33,76.33,ESSP
FIVE GUYS OPERATIONS LLC,3.0,9.0,30.0,135.0,55.0,45.0,ESSP
FIVE GUYS OPERATIONS LLC,1.0,9.47,8.0,94.0,102.0,94.0,ESSP
FIVE GUYS OPERATIONS LLC,2.0,9.65,15.0,94.0,54.5,47.0,ESSP
FIVE GUYS OPERATIONS LLC,3.0,9.79,29.0,94.0,41.0,31.33,ESSP
FIVE GUYS OPERATIONS LLC,7.0,9.48,62.0,94.0,22.29,13.43,ESSP
FIVE GUYS OPERATIONS LLC,11.0,9.38,104.0,94.0,18.0,8.55,ESSP
FIVE GUYS OPERATIONS LLC,26.0,9.0,237.0,94.0,12.73,3.62,ESSP
FIVE GUYS OPERATIONS LLC,10.0,9.5,94.0,300.0,39.4,30.0,ESSP
FIVE GUYS OPERATIONS LLC,4.0,9.98,43.0,284.0,81.75,71.0,ESSP
FIVE GUYS OPERATIONS LLC,6.0,10.79,61.0,284.0,57.5,47.33,ESSP
FIVE GUYS OPERATIONS LLC,11.0,10.74,116.0,284.0,36.36,25.82,ESSP
FIVE GUYS OPERATIONS LLC,23.0,9.5,215.0,284.0,21.7,12.35,ESSP
FIVE GUYS OPERATIONS LLC,3.0,10.86,31.0,312.0,114.33,104.0,ESSP
FIVE GUYS OPERATIONS LLC,5.0,10.06,45.0,312.0,71.4,62.4,ESSP
FIVE GUYS OPERATIONS LLC,5.0,10.82,57.0,312.0,73.8,62.4,ESSP
FIVE GUYS OPERATIONS LLC,8.0,10.83,88.0,312.0,50.0,39.0,ESSP
FIVE GUYS OPERATIONS LLC,19.0,9.5,181.0,312.0,25.95,16.42,ESSP
ACE PARKING MANAGEMENT INC,6.0,7.5,47.0,136.0,30.5,22.67,ESSP
ACE PARKING MANAGEMENT INC,272.0,14.0,3802.0,136.0,14.48,0.5,ESSP
ACE PARKING MANAGEMENT INC,8.0,7.5,64.0,209.0,34.13,26.13,ESSP
ACE PARKING MANAGEMENT INC,152.0,12.25,1861.0,209.0,13.62,1.38,ESSP
ACE PARKING MANAGEMENT INC,181.0,13.0,2354.0,362.0,15.01,2.0,ESSP
"LANDRY'S PAYROLL, INC",483.0,15.0,16560.76,132.0,34.56,0.27,ESSP
"LANDRY'S PAYROLL, INC",179.0,15.0,4620.54,55.0,26.12,0.31,ESSP
"LANDRY'S PAYROLL, INC",420.0,15.0,12186.15,302.0,29.73,0.72,ESSP
"LANDRY'S PAYROLL, INC",123.0,5.0,4524.11,40.0,37.11,0.33,ESSP
"LANDRY'S PAYROLL, INC",100.0,5.0,4570.97,25.0,45.96,0.25,ESSP
"LANDRY'S PAYROLL, INC",320.0,5.0,14667.86,150.0,46.31,0.47,ESSP
"LANDRY'S PAYROLL, INC",111.0,5.0,5094.96,794.0,53.05,7.15,ESSP
"LANDRY'S PAYROLL, INC",345.0,5.0,12725.64,25.0,36.96,0.07,ESSP
"LANDRY'S PAYROLL, INC",450.0,20.0,11307.73,380.87,25.97,0.85,ESSP
"LANDRY'S PAYROLL, INC",370.0,5.0,17417.02,935.0,49.6,2.53,ESSP
"LANDRY'S PAYROLL, INC",87.0,15.0,1730.93,35.0,20.3,0.4,ESSP
"LANDRY'S PAYROLL, INC",415.0,5.0,18415.64,210.0,44.88,0.51,ESSP
"LANDRY'S PAYROLL, INC",441.0,5.0,14055.79,109.78,32.12,0.25,ESSP
"LANDRY'S PAYROLL, INC",288.0,5.0,13146.5,287.66,46.65,1.0,ESSP
"LANDRY'S PAYROLL, INC",489.0,5.0,17407.52,28.07,35.66,0.06,ESSP
"LANDRY'S PAYROLL, INC",230.0,5.0,9192.0,10.0,40.01,0.04,ESSP
"LANDRY'S PAYROLL, INC",527.0,5.0,28032.92,899.53,54.9,1.71,ESSP
"LANDRY'S PAYROLL, INC",462.0,5.0,18829.08,128.0,41.03,0.28,ESSP
"LANDRY'S PAYROLL, INC",33.0,5.0,1343.25,35.0,41.77,1.06,ESSP
"LANDRY'S PAYROLL, INC",133.0,5.0,3992.62,90.0,30.7,0.68,ESSP
"LANDRY'S PAYROLL, INC",258.0,5.0,9836.14,100.0,38.51,0.39,ESSP
"LANDRY'S PAYROLL, INC",538.0,5.0,18040.34,70.0,33.66,0.13,ESSP
"LANDRY'S PAYROLL, INC",452.0,5.0,21086.94,280.0,47.27,0.62,ESSP
"LANDRY'S PAYROLL, INC",181.0,5.0,9386.72,52.0,52.15,0.29,ESSP
"LANDRY'S PAYROLL, INC",426.0,5.0,15802.13,25.93,37.16,0.06,ESSP
QUEEN VIC,44.0,5.0,220.0,1013.0,28.02,23.02,ESSP
QUEEN VIC,59.0,5.0,294.0,1810.0,35.66,30.68,ESSP
QUEEN VIC,91.0,10.0,909.0,1000.0,20.98,10.99,ESSP
QUEEN VIC,57.0,5.0,284.0,1499.0,31.28,26.3,ESSP
QUEEN VIC,33.0,5.0,167.0,813.0,29.7,24.64,ESSP
QUEEN VIC,168.0,5.0,840.0,4638.0,32.61,27.61,ESSP
QUEEN VIC,190.0,5.0,952.0,3522.0,23.55,18.54,ESSP
QUEEN VIC,481.0,5.03,2420.0,10619.0,27.11,22.08,ESSP
QUEEN VIC,69.0,5.0,343.0,4112.0,64.57,59.59,ESSP
QUEEN VIC,68.0,5.0,340.0,1431.0,26.04,21.04,ESSP
QUEEN VIC,115.0,5.0,577.0,2488.0,26.65,21.63,ESSP
QUEEN VIC,159.0,5.0,796.0,4522.0,33.45,28.44,ESSP
202 BY PI LLC,234.0,15.0,3515.0,4690.0,35.06,20.04,ESSP
202 BY PI LLC,22.0,14.0,312.0,416.0,33.09,18.91,ESSP
202 BY PI LLC,180.0,15.0,2700.0,4279.0,38.77,23.77,ESSP
202 BY PI LLC,162.0,16.0,2599.0,3946.0,40.4,24.36,ESSP
202 BY PI LLC,196.0,15.0,2933.0,4000.0,35.37,20.41,ESSP
202 BY PI LLC,243.0,15.0,3640.0,4380.0,33.0,18.02,ESSP
202 BY PI LLC,184.0,15.0,2736.0,3887.0,35.99,21.13,ESSP
202 BY PI LLC,351.0,15.0,5267.0,7029.0,35.03,20.03,ESSP
202 BY PI LLC,134.0,14.0,2011.0,407.0,18.04,3.04,ESSP
202 BY PI LLC,234.0,15.0,3515.0,4690.0,35.06,20.04,ESSP
202 BY PI LLC,22.0,14.0,312.0,416.0,33.09,18.91,ESSP
202 BY PI LLC,180.0,15.0,2700.0,4279.0,38.77,23.77,ESSP
202 BY PI LLC,162.0,16.0,2599.0,3946.0,40.4,24.36,ESSP
202 BY PI LLC,196.0,15.0,2933.0,4000.0,35.37,20.41,ESSP
202 BY PI LLC,243.0,15.0,3640.0,4380.0,33.0,18.02,ESSP
202 BY PI LLC,184.0,15.0,2736.0,3887.0,35.99,21.13,ESSP
202 BY PI LLC,351.0,15.0,5267.0,7029.0,35.03,20.03,ESSP
202 BY PI LLC,134.0,14.0,2011.0,407.0,18.04,3.04,ESSP
BCI FOOD SERVICES LLC,691.0,50.0,8059.0,20220.0,40.92,29.26,ESSP
BCI FOOD SERVICES LLC,170.0,50.0,179.0,730.0,5.35,4.29,ESSP
BCI FOOD SERVICES LLC,340.0,750.0,2652.0,11559.0,41.8,34.0,ESSP
BCI FOOD SERVICES LLC,500.0,36.0,49.0,2149.0,4.4,4.3,ESSP
BCI FOOD SERVICES LLC,660.0,250.0,810.0,2286.0,4.69,3.46,ESSP
BCI FOOD SERVICES LLC,330.0,500.0,164.0,1407.0,4.76,4.26,ESSP
SHANGHAI LOUNGE LLC,520.0,17.31,10500.0,1500.0,23.08,2.88,ESSP
DOUGHBOY ENTERPRISES LLC,98.0,4.0,2575.0,2137.0,48.08,21.81,ESSP
DOUGHBOY ENTERPRISES LLC,440.0,6.0,8032.0,2099.0,23.03,4.77,ESSP
DOUGHBOY ENTERPRISES LLC,6.0,6.0,93.0,2000.0,348.83,333.33,ESSP
DOUGHBOY ENTERPRISES LLC,277.0,4.0,8472.0,7240.0,56.72,26.14,ESSP
DOUGHBOY ENTERPRISES LLC,394.0,5.0,13039.0,11070.0,61.19,28.1,ESSP
DOUGHBOY ENTERPRISES LLC,301.0,6.0,5136.0,1163.0,20.93,3.86,ESSP
GOLDEN EAGLE INC,398.0,600.0,2388.0,4478.0,17.25,11.25,ESSP
GOLDEN EAGLE INC,565.0,500.0,3039.0,10498.0,23.96,18.58,ESSP
GOLDEN EAGLE INC,187.0,500.0,933.0,3487.0,23.64,18.65,ESSP
GOLDEN EAGLE INC,550.0,600.0,329.0,438.0,1.39,0.8,ESSP
GOLDEN EAGLE INC,266.0,600.0,1595.0,2852.0,16.72,10.72,ESSP
GOLDEN EAGLE INC,370.0,600.0,222.0,442.0,1.79,1.19,ESSP
GOLDEN EAGLE INC,207.0,500.0,1036.0,3908.0,23.88,18.88,ESSP
GOLDEN EAGLE INC,354.0,500.0,1770.0,7124.0,25.12,20.12,ESSP
GOLDEN EAGLE INC,355.0,500.0,1799.0,6407.0,23.12,18.05,ESSP
GOLDEN EAGLE INC,230.0,500.0,1151.0,5431.0,28.62,23.61,ESSP
GOLDEN EAGLE INC,900.0,500.0,452.0,1608.0,2.29,1.79,ESSP
GOLDEN EAGLE INC,307.0,600.0,1844.0,2994.0,15.76,9.75,ESSP
GOLDEN EAGLE INC,128.0,500.0,642.0,2677.0,25.93,20.91,ESSP
DAS ETHIOPIAN INC,486.0,500.0,2430.0,12481.0,30.68,25.68,ESSP
DAS ETHIOPIAN INC,127.0,300.0,1645.0,624.0,17.87,4.91,ESSP
DAS ETHIOPIAN INC,107.0,0.0,1068.0,725.0,16.76,6.78,ESSP
DAS ETHIOPIAN INC,890.0,500.0,445.0,2270.0,3.05,2.55,ESSP
DAS ETHIOPIAN INC,439.0,500.0,2195.0,13243.0,35.17,30.17,ESSP
DAS ETHIOPIAN INC,461.0,500.0,2304.0,11769.0,30.53,25.53,ESSP
YADA GROUP INC,488.0,17.6,8606.0,407.32,18.47,0.83,ESSP
YADA GROUP INC,500.0,12.66,6337.5,9739.81,32.15,19.48,ESSP
YADA GROUP INC,16.0,15.56,249.0,238.49,30.47,14.91,ESSP
YADA GROUP INC,194.0,5.11,993.6,3339.09,22.33,17.21,ESSP
YADA GROUP INC,252.0,13.88,3498.0,4197.2,30.54,16.66,ESSP
YADA GROUP INC,14.0,16.79,235.0,251.89,34.78,17.99,ESSP
YADA GROUP INC,303.0,11.49,3487.5,5516.09,29.71,18.2,ESSP
YADA GROUP INC,128.0,13.66,1749.0,2113.25,30.17,16.51,ESSP
YADA GROUP INC,10.0,49.1,491.0,150.04,64.1,15.0,ESSP
YADA GROUP INC,68.0,15.49,1053.0,1020.04,30.49,15.0,ESSP
MINTWOOD PLACE,309.0,500.0,1587.0,11807.0,43.35,38.21,ESSP
MINTWOOD PLACE,250.0,800.0,197.0,259.0,1.82,1.04,ESSP
MINTWOOD PLACE,980.0,800.0,781.0,1020.0,1.84,1.04,ESSP
MINTWOOD PLACE,171.0,500.0,853.0,6804.0,44.78,39.79,ESSP
MINTWOOD PLACE,600.0,800.0,482.0,830.0,2.19,1.38,ESSP
MINTWOOD PLACE,198.0,800.0,1585.0,8096.0,48.89,40.89,ESSP
MINTWOOD PLACE,312.0,0.0,3124.0,12062.0,48.67,38.66,ESSP
MINTWOOD PLACE,346.0,800.0,2771.0,3726.0,18.78,10.77,ESSP
MINTWOOD PLACE,209.0,800.0,1671.0,1970.0,17.42,9.43,ESSP
MINTWOOD PLACE,534.0,0.0,5326.0,10467.0,29.57,19.6,ESSP
MINTWOOD PLACE,160.0,800.0,129.0,197.0,2.04,1.23,ESSP
MINTWOOD PLACE,100.0,400.0,41.0,42.0,0.83,0.42,ESSP
MINTWOOD PLACE,850.0,800.0,680.0,635.0,1.55,0.75,ESSP
MINTWOOD PLACE,610.0,500.0,303.0,2101.0,3.94,3.44,ESSP
MINTWOOD PLACE,112.0,800.0,893.0,1241.0,19.05,11.08,ESSP
MINTWOOD PLACE,110.0,0.0,111.0,423.0,4.85,3.85,ESSP
MINTWOOD PLACE,320.0,800.0,255.0,700.0,2.98,2.19,ESSP
MINTWOOD PLACE,388.0,800.0,3106.0,5232.0,21.49,13.48,ESSP
MINTWOOD PLACE,770.0,0.0,768.0,2744.0,4.56,3.56,ESSP
MINTWOOD PLACE,540.0,500.0,272.0,2012.0,4.23,3.73,ESSP
MINTWOOD PLACE,410.0,800.0,329.0,650.0,2.39,1.59,ESSP
MINTWOOD PLACE,418.0,800.0,3345.0,5181.0,20.4,12.39,ESSP
MINTWOOD PLACE,165.0,800.0,1319.0,1799.0,18.9,10.9,ESSP
MINTWOOD PLACE,543.0,500.0,2749.0,22889.0,47.22,42.15,ESSP
MINTWOOD PLACE,189.0,800.0,1513.0,2358.0,20.48,12.48,ESSP
MINTWOOD PLACE,600.0,0.0,61.0,413.0,0.79,0.69,ESSP
MINTWOOD PLACE,290.0,800.0,236.0,704.0,3.24,2.43,ESSP
MINTWOOD PLACE,378.0,0.0,3785.0,14287.0,47.81,37.8,ESSP
MINTWOOD PLACE,142.0,300.0,1845.0,435.0,16.06,3.06,ESSP
MINTWOOD PLACE,200.0,800.0,1602.0,2876.0,22.39,14.38,ESSP
MINTWOOD PLACE,548.0,500.0,2853.0,21021.0,43.57,38.36,ESSP
ELEPHANT & CASTLE PUB AND RESTAURANT,262.0,5.0,1310.0,5266.0,25.1,20.1,ESSP
ELEPHANT & CASTLE PUB AND RESTAURANT,275.0,5.0,1379.38,4400.9,21.02,16.0,ESSP
ELEPHANT & CASTLE PUB AND RESTAURANT,385.0,5.0,1927.65,6752.75,22.55,17.54,ESSP
ELEPHANT & CASTLE PUB AND RESTAURANT,94.0,5.0,472.5,1559.89,21.62,16.59,ESSP
ELEPHANT & CASTLE PUB AND RESTAURANT,195.0,5.0,976.25,3336.88,22.12,17.11,ESSP
ELEPHANT & CASTLE PUB AND RESTAURANT,394.0,5.0,1972.5,6511.19,21.53,16.53,ESSP
ELEPHANT & CASTLE PUB AND RESTAURANT,368.0,5.0,1930.63,6277.05,22.3,17.06,ESSP
ELEPHANT & CASTLE PUB AND RESTAURANT,375.0,5.0,1875.63,6483.97,22.29,17.29,ESSP
ELEPHANT & CASTLE PUB AND RESTAURANT,184.0,5.0,920.0,1963.08,15.67,10.67,ESSP
ELEPHANT & CASTLE PUB AND RESTAURANT,150.0,5.0,752.5,3138.02,25.94,20.92,ESSP
ELEPHANT & CASTLE PUB AND RESTAURANT,118.0,5.0,592.5,1718.01,19.58,14.56,ESSP
ELEPHANT & CASTLE PUB AND RESTAURANT,199.0,5.0,995.0,2553.28,17.83,12.83,ESSP
ELEPHANT & CASTLE PUB AND RESTAURANT,231.0,5.0,1157.5,5402.35,28.4,23.39,ESSP
GRACE JAPENESE CORPORATION,400.0,32.0,15000.0,1923.51,42.31,4.81,ESSP
GRACE JAPENESE CORPORATION,400.0,25.0,12000.0,1923.52,34.81,4.81,ESSP
RINCONCITO TEX-MEX RESTAURANT INC,210.0,5.0,1470.0,2660.0,19.67,12.67,ESSP
RINCONCITO TEX-MEX RESTAURANT INC,259.0,5.0,1816.0,2663.0,17.29,10.28,ESSP
RINCONCITO TEX-MEX RESTAURANT INC,480.0,5.0,3360.0,2620.0,12.46,5.46,ESSP
MENOMALE LLC,300.0,11.0,11817.29,8517.29,67.78,28.39,ESSP
MENOMALE LLC,307.0,9.0,11804.53,9041.53,67.9,29.45,ESSP
MENOMALE LLC,15.0,8.5,240.48,112.98,23.56,7.53,ESSP
MENOMALE LLC,5.0,8.5,196.38,153.88,70.05,30.78,ESSP
MENOMALE LLC,179.0,5.05,6511.83,5607.88,67.71,31.33,ESSP
MENOMALE LLC,51.0,5.05,889.69,632.14,29.84,12.39,ESSP
MENOMALE LLC,22.0,8.5,347.83,160.83,23.12,7.31,ESSP
MENOMALE LLC,276.0,9.0,9593.85,7109.85,60.52,25.76,ESSP
MENOMALE LLC,259.0,5.05,9300.65,7992.7,66.77,30.86,ESSP
MENOMALE LLC,183.0,8.5,3377.88,1822.38,28.42,9.96,ESSP
TORTINO RESTAURANT INC,35.0,5.0,210.0,571.0,22.31,16.31,ESSP
TORTINO RESTAURANT INC,478.0,5.0,2430.0,16342.0,39.27,34.19,ESSP
TORTINO RESTAURANT INC,73.0,5.0,751.6,445.0,16.39,6.1,ESSP
TORTINO RESTAURANT INC,317.0,5.0,1902.0,11215.0,41.38,35.38,ESSP
TORTINO RESTAURANT INC,100.0,5.0,1208.0,2063.0,32.71,20.63,ESSP
THE BRIXTON,317.0,500.0,1726.0,9759.0,36.23,30.79,ESSP
THE BRIXTON,180.0,500.0,88.0,382.0,2.61,2.12,ESSP
THE BRIXTON,122.0,0.0,1216.0,2585.0,31.16,21.19,ESSP
THE BRIXTON,278.0,0.0,2818.0,4199.0,25.24,15.1,ESSP
THE BRIXTON,560.0,0.0,559.0,1215.0,3.17,2.17,ESSP
THE BRIXTON,297.0,500.0,1662.0,9151.0,36.41,30.81,ESSP
THE BRIXTON,247.0,0.0,2466.0,8973.0,46.31,36.33,ESSP
THE BRIXTON,580.0,500.0,290.0,3795.0,7.04,6.54,ESSP
THE BRIXTON,330.0,500.0,165.0,977.0,3.46,2.96,ESSP
THE BRIXTON,900.0,0.0,902.0,2674.0,3.97,2.97,ESSP
THE BRIXTON,161.0,500.0,942.0,8745.0,60.17,54.32,ESSP
THE BRIXTON,170.0,0.0,1842.0,8745.0,62.28,51.44,ESSP
THE BRIXTON,285.0,500.0,1425.0,8512.0,34.87,29.87,ESSP
THE BRIXTON,670.0,0.0,671.0,1414.0,3.11,2.11,ESSP
THE BRIXTON,780.0,500.0,392.0,2706.0,3.97,3.47,ESSP
THE BRIXTON,220.0,0.0,219.0,578.0,3.62,2.63,ESSP
THE BRIXTON,330.0,500.0,165.0,694.0,2.6,2.1,ESSP
THE BRIXTON,210.0,0.0,211.0,457.0,3.18,2.18,ESSP
THE BRIXTON,310.0,500.0,154.0,668.0,2.65,2.15,ESSP
THE BRIXTON,440.0,0.0,437.0,885.0,3.0,2.01,ESSP
POY LOUNG DC GROUP,265.0,5.0,1325.0,3425.0,17.92,12.92,ESSP
POY LOUNG DC GROUP,510.0,5.0,2550.0,6125.0,17.01,12.01,ESSP
POY LOUNG DC GROUP,40.0,5.0,200.0,400.0,15.0,10.0,ESSP
POY LOUNG DC GROUP,320.0,5.0,1600.0,4400.0,18.75,13.75,ESSP
CHAROEN DC INC,152.0,5.0,760.0,4701.0,35.93,30.93,ESSP
CHAROEN DC INC,106.0,5.0,530.0,5528.0,57.15,52.15,ESSP
CHAROEN DC INC,18.0,5.0,90.0,565.0,36.39,31.39,ESSP
CHAROEN DC INC,476.0,18.0,8573.0,5867.0,30.34,12.33,ESSP
CENTENOS RESTAURANT INC,300.0,5.0,1500.0,3000.0,15.0,10.0,ESSP
CENTENOS RESTAURANT INC,300.0,5.0,1500.0,3000.0,15.0,10.0,ESSP
FUSION D & Q LLC,287.0,16.0,4589.76,0.01,15.99,0.0,ESSP
FUSION D & Q LLC,128.0,10.0,1280.0,1474.0,21.52,11.52,ESSP
FUSION D & Q LLC,240.0,15.0,3592.5,0.01,14.97,0.0,ESSP
FUSION D & Q LLC,314.0,15.0,4710.0,0.01,15.0,0.0,ESSP
FUSION D & Q LLC,308.0,10.0,3166.0,4640.0,25.34,15.06,ESSP
FUSION D & Q LLC,15.0,15.0,225.0,0.01,15.0,0.0,ESSP
FUSION D & Q LLC,439.0,16.0,7105.12,0.01,16.18,0.0,ESSP
FUSION D & Q LLC,114.0,15.0,1783.0,0.01,15.64,0.0,ESSP
FUSION D & Q LLC,95.0,15.0,1431.75,0.01,15.07,0.0,ESSP
FUSION D & Q LLC,11.0,15.0,165.0,0.01,15.0,0.0,ESSP
FUSION D & Q LLC,560.0,15.0,8400.0,0.01,15.0,0.0,ESSP
FUSION D & Q LLC,560.0,30.0,16800.0,0.01,30.0,0.0,ESSP
FUSION D & Q LLC,249.0,10.0,2486.25,3519.05,24.12,14.13,ESSP
FUSION D & Q LLC,560.0,12.0,6960.0,8330.0,27.3,14.88,ESSP
1541 Q LLC,496.0,0.0,6632.0,8956.0,31.43,18.06,ESSP
1541 Q LLC,197.0,500.0,987.0,2962.0,20.05,15.04,ESSP
1541 Q LLC,361.0,100.0,3968.0,6855.0,29.98,18.99,ESSP
MI CUBA INC,107.0,5.0,2623.63,2087.13,44.03,19.51,ESSP
MI CUBA INC,341.0,5.0,7416.52,5709.97,38.49,16.74,ESSP
MI CUBA INC,615.0,5.0,17074.2,13815.92,50.23,22.46,ESSP
MI CUBA INC,421.0,5.0,13270.08,11152.13,58.01,26.49,ESSP
IZAKAYA SEKI,500.0,500.0,27.0,540.0,1.13,1.08,ESSP
IZAKAYA SEKI,112.0,445.0,498.0,3043.0,31.62,27.17,ESSP
IZAKAYA SEKI,236.0,500.0,1179.0,9327.0,44.52,39.52,ESSP
IZAKAYA SEKI,251.0,500.0,1255.0,9427.0,42.56,37.56,ESSP
IZAKAYA SEKI,910.0,445.0,404.0,3043.0,3.79,3.34,ESSP
DC MOBILE SHARPENING LLC,480.0,25.0,11623.0,555.0,25.37,1.16,ESSP
DC MOBILE SHARPENING LLC,381.0,18.0,6858.0,984.0,20.58,2.58,ESSP
DC MOBILE SHARPENING LLC,78.0,15.0,1170.0,552.0,22.08,7.08,ESSP
DC MOBILE SHARPENING LLC,80.0,20.0,1600.0,547.0,26.84,6.84,ESSP
DC MOBILE SHARPENING LLC,321.0,15.0,4815.0,1032.0,18.21,3.21,ESSP
SUNFLOWER INC,200.0,10.0,3000.0,1000.0,20.0,5.0,ESSP
SUNFLOWER INC,30.0,8.0,640.0,400.0,34.67,13.33,ESSP
SUNFLOWER INC,201.0,11.0,3136.0,925.0,20.2,4.6,ESSP
SUNFLOWER INC,400.0,11.25,9000.0,4500.0,33.75,11.25,ESSP
RAPPAHANNOCK OYSTER BAR,140.0,0.0,1403.0,2809.0,30.09,20.06,ESSP
RAPPAHANNOCK OYSTER BAR,188.0,500.0,954.0,8688.0,51.29,46.21,ESSP
RAPPAHANNOCK OYSTER BAR,420.0,800.0,336.0,2712.0,7.26,6.46,ESSP
RAPPAHANNOCK OYSTER BAR,118.0,500.0,590.0,2870.0,29.32,24.32,ESSP
RAPPAHANNOCK OYSTER BAR,160.0,600.0,96.0,186.0,1.76,1.16,ESSP
RAPPAHANNOCK OYSTER BAR,320.0,0.0,319.0,619.0,2.93,1.93,ESSP
RAPPAHANNOCK OYSTER BAR,100.0,500.0,49.0,360.0,4.09,3.6,ESSP
THANG HUYNH,564.0,30.0,18875.4,853.0,34.98,1.51,ESSP
THANG HUYNH,607.0,30.0,20496.4,754.0,35.01,1.24,ESSP
THANG HUYNH,515.0,20.0,9848.8,459.0,20.02,0.89,ESSP
THANG HUYNH,457.0,20.0,8643.8,489.0,19.98,1.07,ESSP
THANG HUYNH,559.0,20.0,10664.6,510.0,19.99,0.91,ESSP
THANG HUYNH,458.0,17.0,7447.0,337.0,17.0,0.74,ESSP
BLACK WHISKEY LLC,153.0,700.0,1070.0,4665.0,37.48,30.49,ESSP
BLACK WHISKEY LLC,750.0,0.0,750.0,825.0,2.1,1.1,ESSP
THE RED HEN,182.0,800.0,1457.0,3159.0,25.36,17.36,ESSP
THE RED HEN,120.0,800.0,96.0,248.0,2.87,2.07,ESSP
THE RED HEN,590.0,500.0,296.0,3055.0,5.68,5.18,ESSP
THE RED HEN,580.0,800.0,462.0,1056.0,2.62,1.82,ESSP
THE RED HEN,116.0,0.0,1163.0,1887.0,26.29,16.27,ESSP
THE RED HEN,940.0,850.0,798.0,1790.0,2.75,1.9,ESSP
THE RED HEN,390.0,800.0,310.0,680.0,2.54,1.74,ESSP
BEAU THAI MT PLEASANT LLC,83.0,12.0,998.64,1473.0,29.78,17.75,ESSP
BEAU THAI MT PLEASANT LLC,182.0,12.0,2178.24,3601.0,31.75,19.79,ESSP
BEAU THAI MT PLEASANT LLC,390.0,7.0,2733.01,6906.0,24.72,17.71,ESSP
BEAU THAI MT PLEASANT LLC,330.0,12.0,3959.28,4984.0,27.1,15.1,ESSP
BEAU THAI MT PLEASANT LLC,62.0,7.0,434.91,749.0,19.1,12.08,ESSP
BEAU THAI MT PLEASANT LLC,305.0,6.91,2107.42,5899.0,26.25,19.34,ESSP
BEAU THAI MT PLEASANT LLC,58.0,12.0,694.44,915.0,27.75,15.78,ESSP
BEAU THAI MT PLEASANT LLC,55.0,12.0,658.56,919.0,28.68,16.71,ESSP
BEAU THAI MT PLEASANT LLC,542.0,7.97,4318.29,11651.0,29.46,21.5,ESSP
BEAU THAI MT PLEASANT LLC,22.0,12.5,275.01,364.0,29.05,16.55,ESSP
T & K CORP,260.0,62.5,16250.0,7649.0,91.92,29.42,ESSP
T & K CORP,260.0,47.12,12250.0,6149.0,70.77,23.65,ESSP
ULTIMO LLC,157.0,8.4,1324.0,1422.4,17.49,9.06,ESSP
ULTIMO LLC,327.0,10.53,3445.51,1915.04,16.39,5.86,ESSP
ULTIMO LLC,266.0,9.26,2467.83,2307.6,17.95,8.68,ESSP
ULTIMO LLC,475.0,5.07,2414.75,8480.64,22.94,17.85,ESSP
ULTIMO LLC,559.0,5.0,4250.0,4774.81,16.14,8.54,ESSP
ULTIMO LLC,617.0,6.34,3912.25,10933.39,24.06,17.72,ESSP
THE CLOAK ROOM,22.0,5.0,509.25,70.0,26.33,3.18,ESSP
THE CLOAK ROOM,6.0,5.0,33.35,70.0,17.23,11.67,ESSP
THE CLOAK ROOM,4.0,5.0,20.75,50.0,17.69,12.5,ESSP
THE CLOAK ROOM,109.0,5.0,1694.65,800.0,22.89,7.34,ESSP
THE CLOAK ROOM,217.0,5.0,1086.35,9697.61,49.7,44.69,ESSP
THE CLOAK ROOM,220.0,10.0,2580.6,6061.5,39.28,27.55,ESSP
THE CLOAK ROOM,269.0,5.0,15168.65,12899.43,104.34,47.95,ESSP
THE CLOAK ROOM,54.0,11.0,717.23,399.7,20.68,7.4,ESSP
THE CLOAK ROOM,62.0,5.0,1259.8,160.0,22.9,2.58,ESSP
THE CLOAK ROOM,520.0,40.86,12692.3,366.8,25.11,0.71,ESSP
THE CLOAK ROOM,162.0,10.0,1675.3,3105.5,29.51,19.17,ESSP
THE CLOAK ROOM,520.0,25.0,13230.76,2114.2,29.51,4.07,ESSP
THE CLOAK ROOM,467.0,15.0,6947.63,10146.0,36.6,21.73,ESSP
THE CLOAK ROOM,78.0,5.0,2216.05,90.0,29.56,1.15,ESSP
THE CLOAK ROOM,121.0,11.0,1332.54,2775.19,33.95,22.94,ESSP
THE CLOAK ROOM,151.0,5.0,1324.95,6436.51,51.4,42.63,ESSP
THE CLOAK ROOM,240.0,25.0,7000.0,3412.0,43.38,14.22,ESSP
