"","district","branch","yr_applied","mo_applied","product","population","poverty","price","count","loan_per_branch","agg_date","pop_wt","weighted_loans_bybranchprod","weighted_count_bybranchprod","hml_cookstove","hml_gobargas","hml_jumbostove","hml_solarlight"
"224","BangaloreRural","Nelamangala",2018,7,"CookStove",163090,15.7,396,38,15048,"2018-07-01",0.460397,6928.054,17.49509,"Medium","Low","High","Low"
"225","BangaloreRural","Nelamangala",2015,12,"SolarLight",163090,15.7,199,1,199,"2015-12-01",0.460397,91.619,0.460397,"Medium","Low","High","Low"
"226","BangaloreRural","Hosakote",2017,10,"SolarLight",213838,15.7,193,2,386,"2017-10-01",0.6036567,233.0115,1.207313,"Medium","Low","High","Low"
"227","BangaloreRural","Hosakote",2018,2,"SolarLight",213838,15.7,202,1,202,"2018-02-01",0.6036567,121.9387,0.6036567,"Medium","Low","High","Low"
"228","BangaloreRural","Nelamangala",2014,11,"SolarLight",163090,15.7,363,5.5,1996.5,"2014-11-01",0.460397,919.1826,2.532184,"Medium","Low","High","Low"
"229","BangaloreRural","Hosakote",2015,9,"SolarLight",213838,15.7,399.75,2.75,1099.313,"2015-09-01",0.6036567,663.6074,1.660056,"Medium","Low","High","Low"
"230","BangaloreRural","Nelamangala",2014,11,"CookStove",163090,15.7,161,234,37674,"2014-11-01",0.460397,17345,107.7329,"Medium","Low","High","Low"
"231","BangaloreRural","Nelamangala",2018,4,"SolarLight",163090,15.7,226,1.5,339,"2018-04-01",0.460397,156.0746,0.6905955,"Medium","Low","High","Low"
"232","BangaloreRural","Hosakote",2017,5,"SolarLight",213838,15.7,118,3,354,"2017-05-01",0.6036567,213.6945,1.81097,"Medium","Low","High","Low"
"233","BangaloreRural","Devanahalli",2017,10,"CookStove",146705,15.7,264.5,18.5,4893.25,"2017-10-01",0.4141428,2026.504,7.661641,"Medium","Low","High","Low"
"234","BangaloreRural","Nelamangala",2015,7,"SolarLight",163090,15.7,439,1,439,"2015-07-01",0.460397,202.1143,0.460397,"Medium","Low","High","Low"
"235","BangaloreRural","Hosakote",2017,6,"CookStove",213838,15.7,264.5,3,793.5,"2017-06-01",0.6036567,479.0016,1.81097,"Medium","Low","High","Low"
"236","BangaloreRural","Hosakote",2017,2,"SolarLight",213838,15.7,538,1.5,807,"2017-02-01",0.6036567,487.151,0.9054851,"Medium","Low","High","Low"
"237","BangaloreRural","Hosakote",2017,6,"SolarLight",213838,15.7,193,2,386,"2017-06-01",0.6036567,233.0115,1.207313,"Medium","Low","High","Low"
"238","BangaloreRural","Devanahalli",2018,8,"GreenwayJumboStoveGJS1",146705,15.7,396,1,396,"2018-08-01",0.4141428,164.0005,0.4141428,"Medium","Low","High","Low"
"239","BangaloreRural","Hosakote",2015,8,"SolarLight",213838,15.7,610.5,1,610.5,"2015-08-01",0.6036567,368.5324,0.6036567,"Medium","Low","High","Low"
"240","BangaloreRural","Hosakote",2014,10,"GobarGasPlant",213838,15.7,10,4,40,"2014-10-01",0.6036567,24.14627,2.414627,"Medium","Low","High","Low"
"241","BangaloreRural","Devanahalli",2018,6,"CookStove",146705,15.7,396,95,37620,"2018-06-01",0.4141428,15580.05,39.34356,"Medium","Low","High","Low"
"242","BangaloreRural","Nelamangala",2018,8,"CookStove",163090,15.7,396,6,2376,"2018-08-01",0.460397,1093.903,2.762382,"Medium","Low","High","Low"
"243","BangaloreRural","Hosakote",2017,8,"SolarLight",213838,15.7,118,1,118,"2017-08-01",0.6036567,71.23149,0.6036567,"Medium","Low","High","Low"
"244","BangaloreRural","Hosakote",2018,6,"CookStove",213838,15.7,396,12,4752,"2018-06-01",0.6036567,2868.577,7.243881,"Medium","Low","High","Low"
"245","BangaloreRural","Hosakote",2014,12,"GobarGasPlant",213838,15.7,216,3,648,"2014-12-01",0.6036567,391.1696,1.81097,"Medium","Low","High","Low"
"246","BangaloreRural","Hosakote",2018,9,"GreenwayJumboStoveGJS1",213838,15.7,396,54,21384,"2018-09-01",0.6036567,12908.6,32.59746,"Medium","Low","High","Low"
"247","BangaloreRural","Doddaballapur",2016,7,"SolarLight",198546,15.7,10,1,10,"2016-07-01",0.560488,5.60488,0.560488,"Medium","Low","High","Low"
"248","BangaloreRural","Doddaballapur",2014,10,"CookStove",198546,15.7,301.5,59,17788.5,"2014-10-01",0.560488,9970.24,33.06879,"Medium","Low","High","Low"
"249","BangaloreRural","Hosakote",2017,11,"CookStove",213838,15.7,396,20,7920,"2017-11-01",0.6036567,4780.961,12.07313,"Medium","Low","High","Low"
"250","BangaloreRural","Devanahalli",2017,11,"SolarLight",146705,15.7,160,3.5,560,"2017-11-01",0.4141428,231.92,1.4495,"Medium","Low","High","Low"
