branch,district,yr_applied,mo_applied,product,population,poverty,price,count,loan_per_branch,agg_date,pop_wt,weighted_loans_bybranchprod,weighted_count_bybranchprod
"Haveri","Haveri",2013,6,"SolarLight",213260,33.7,868,1,868,"2013-06-01",.602025,522.5577,.602025
"Heggadevanakote","Mysore",2014,4,"SolarLight",237968,15.5,404,1,404,"2014-04-01",.6717748,271.397,.6717748
"Hirekerur","Haveri",2015,7,"SolarLight",211924,33.7,363.8,1.4,509.32,"2015-07-01",.5982535,304.7025,.837555
"Hiriyur","Chitradurga",2016,6,"SolarLight",229717,46.7,107,1,107,"2016-06-01",.6484826,69.38763,.6484826
"Holalkere","Chitradurga",2014,9,"SolarLight",185241,46.7,125,1,125,"2014-09-01",.5229285,65.36606,.5229285
"Holenarasipura","Hassan",2015,2,"GobarGasPlant",152213,11.6,10,1,10,"2015-02-01",.4296916,4.296916,.4296916
"Homnabad","Bidar",2018,2,"SolarLight",262581,35.1,410,1.333333,546.6667,"2018-02-01",.7412564,405.2202,.9883419
"Honnali","Davanagere",2013,4,"GobarGasPlant",215278,23.3,349,1.5,523.5,"2013-04-01",.6077218,318.1424,.9115827
"Honnavar","UttaraKannada",2015,2,"CookStove",147155,19.6,161,10,1610,"2015-02-01",.4154131,668.8151,4.154131
"Hosadurga","Chitradurga",2017,12,"SolarLight",206746,46.7,367,1.285714,471.8571,"2017-12-01",.5836363,275.3929,.7503895
