"","Region","Year","specialization","seats"
"175","Central",2004,"chest",0
"176","Central",2005,"chest",0
"177","Central",2006,"chest",0
"178","Central",2007,"chest",0
"179","Central",2008,"chest",0
"180","Central",2009,"chest",0
"181","Central",2010,"chest",0
"182","Central",2011,"chest",0
"183","Central",2012,"chest",0
"184","Central",2013,"chest",0
"185","Central",2014,"chest",0
"186","Central",2015,"chest",0
"187","Central",2016,"chest",0
"188","Central",2017,"chest",0
"189","Central",2018,"chest",0
"190","Central",1998,"critical",0
"191","Central",1999,"critical",0
"192","Central",2000,"critical",0
"193","Central",2001,"critical",0
"194","Central",2002,"critical",0
"195","Central",2003,"critical",0
"196","Central",2004,"critical",0
"197","Central",2005,"critical",0
"198","Central",2006,"critical",0
"199","Central",2007,"critical",0
"200","Central",2008,"critical",0
"201","Central",2009,"critical",0
"202","Central",2010,"critical",0
"203","Central",2011,"critical",0
"204","Central",2012,"critical",0
"205","Central",2013,"critical",0
"206","Central",2014,"critical",0
"207","Central",2015,"critical",0
"208","Central",2016,"critical",0
"209","Central",2017,"critical",0
"210","Central",2018,"critical",0
"211","Central",1998,"diabetes",0
"212","Central",1999,"diabetes",0
"213","Central",2000,"diabetes",0
"214","Central",2001,"diabetes",0
"215","Central",2002,"diabetes",0
"216","Central",2003,"diabetes",0
"217","Central",2004,"diabetes",0
"218","Central",2005,"diabetes",0
"219","Central",2006,"diabetes",0
"220","Central",2007,"diabetes",0
"221","Central",2008,"diabetes",0
"222","Central",2009,"diabetes",0
"223","Central",2010,"diabetes",0
"224","Central",2011,"diabetes",0
"225","Central",2012,"diabetes",0
"226","Central",2013,"diabetes",0
"227","Central",2014,"diabetes",0
"228","Central",2015,"diabetes",0
"229","Central",2016,"diabetes",0
"230","Central",2017,"diabetes",0
"231","Central",2018,"diabetes",0
"232","Central",1998,"digestion",0
"233","Central",1999,"digestion",0
"234","Central",2000,"digestion",0
"235","Central",2001,"digestion",0
"236","Central",2002,"digestion",0
"237","Central",2003,"digestion",0
