Month,New Enrollments,Currently Enrolled,Total Exits,Successful Completions,Entered Employment
2020-Oct,12,0,12,11,7
2020-Nov,13,1,12,5,5
2020-Dec,15,1,14,5,6
2021-Jan,19,4,15,10,5
2021-Feb,20,0,20,10,7
2021-Mar,28,9,19,10,8
2021-Apr,14,6,8,6,5
2021-May,20,14,6,1,1
2021-Jun,18,16,2,1,0
